"","country","iso3","lat_avg","lon_avg"
"237","Uganda","UGA",1,32
"238","Ukraine","UKR",49,32
"239","United Arab Emirates","ARE",24,54
"240","United Kingdom","GBR",54,-2
"241","United States","USA",38,-97
"242","United States Minor Outlying Islands","UMI",19.2833,166.6
"243","Uruguay","URY",-33,-56
"244","Uzbekistan","UZB",41,64
"245","Vanuatu","VUT",-16,167
"246","Venezuela, Bolivarian Republic of","VEN",8,-66
"247","Venezuela","VEN",8,-66
"248","Viet Nam","VNM",16,106
"249","Vietnam","VNM",16,106
"250","Virgin Islands, British","VGB",18.5,-64.5
"251","Virgin Islands, U.S.","VIR",18.3333,-64.8333
"252","Wallis and Futuna","WLF",-13.3,-176.2
"253","Western Sahara","ESH",24.5,-13
"254","Yemen","YEM",15,48
"255","Zambia","ZMB",-15,30
"256","Zimbabwe","ZWE",-20,30
"257","Soviet Union","SUN",60,100
"258","State of Palestine","PSE",32,35.25
"259","German Democratic Republic","GDR",52.52,13.42
"260","Federal Republic of Germany","FRG",50.7374,7.0982
"261","Socialist Federal Republic of Yugoslavia","YUG",44.7866,20.4489
"262","United Arab Republic","UAR",30.0444,31.2357
"263","Czechoslovakia","CZS",50.0755,14.4378
"264","Puerto Rico","PRI",18.2208,-66.5901
"265","Sahrawi Arab Democratic Republic","WSH",24.2155,12.8858
"266","Curaçao","CUR",12.1696,68.99
