"stndr_name","iso3","date","Country","lat_avg","lon_avg"
"Claudet Coelho Guedes","GDR","1973-11-18","German Democratic Republic",52.52,13.42
"[illegible] [illegible] Machado","SUN","1986-03-06","Soviet Union",60,100
"Salomão Malina","GDR","1986-04-17","German Democratic Republic",52.52,13.42
NA," AFG",NA,"Afghanistan",33,65
NA," ALB",NA,"Albania",41,20
NA," DZA",NA,"Algeria",28,3
NA," ASM",NA,"American Samoa",-14.3333,-170
NA," AND",NA,"Andorra",42.5,1.6
NA," AGO",NA,"Angola",-12.5,18.5
NA," AIA",NA,"Anguilla",18.25,-63.1667
NA," ATA",NA,"Antarctica",-90,0
NA," ATG",NA,"Antigua and Barbuda",17.05,-61.8
NA," ARG",NA,"Argentina",-34,-64
NA," ARM",NA,"Armenia",40,45
NA," ABW",NA,"Aruba",12.5,-69.9667
NA," AUS",NA,"Australia",-27,133
NA," AUT",NA,"Austria",47.3333,13.3333
NA," AZE",NA,"Azerbaijan",40.5,47.5
NA," BHS",NA,"Bahamas",24.25,-76
NA," BHR",NA,"Bahrain",26,50.55
NA," BGD",NA,"Bangladesh",24,90
NA," BRB",NA,"Barbados",13.1667,-59.5333
NA," BLR",NA,"Belarus",53,28
NA," BEL",NA,"Belgium",50.8333,4
NA," BLZ",NA,"Belize",17.25,-88.75
NA," BEN",NA,"Benin",9.5,2.25
NA," BMU",NA,"Bermuda",32.3333,-64.75
NA," BTN",NA,"Bhutan",27.5,90.5
NA," BOL",NA,"Bolivia, Plurinational State of",-17,-65
NA," BOL",NA,"Bolivia",-17,-65
NA," BIH",NA,"Bosnia and Herzegovina",44,18
NA," BWA",NA,"Botswana",-22,24
NA," BVT",NA,"Bouvet Island",-54.4333,3.4
NA," BRA",NA,"Brazil",-10,-55
NA," IOT",NA,"British Indian Ocean Territory",-6,71.5
NA," BRN",NA,"Brunei Darussalam",4.5,114.6667
NA," BRN",NA,"Brunei",4.5,114.6667
NA," BGR",NA,"Bulgaria",43,25
NA," BFA",NA,"Burkina Faso",13,-2
NA," BDI",NA,"Burundi",-3.5,30
NA," KHM",NA,"Cambodia",13,105
NA," CMR",NA,"Cameroon",6,12
NA," CAN",NA,"Canada",60,-95
NA," CPV",NA,"Cape Verde",16,-24
NA," CYM",NA,"Cayman Islands",19.5,-80.5
NA," CAF",NA,"Central African Republic",7,21
NA," TCD",NA,"Chad",15,19
NA," CHL",NA,"Chile",-30,-71
NA," CHN",NA,"China",35,105
NA," CXR",NA,"Christmas Island",-10.5,105.6667
NA," CCK",NA,"Cocos (Keeling) Islands",-12.5,96.8333
NA," COL",NA,"Colombia",4,-72
NA," COM",NA,"Comoros",-12.1667,44.25
NA," COG",NA,"Congo",-1,15
NA," COD",NA,"Congo, the Democratic Republic of the",0,25
NA," COK",NA,"Cook Islands",-21.2333,-159.7667
