"stndr_name","iso3","date","country","lat_avg","lon_avg"
"Gueorgui Matioukhine","SUN","1968-09-26","Soviet Union",60,100
"Lidia Matioukhine","SUN","1968-09-23","Soviet Union",60,100
"Benedito Cerqueira da Silva","CZS","1968-10-03","Czechoslovakia",50.0755,14.4378
"Luis Riñon Perret","SUN","1968-07-26","Soviet Union",60,100
"Alberto Rapetti Cabrera","SUN","1968-11-01","Soviet Union",60,100
"Luis Bernardo Pozzolo","SUN","1968-07-13","Soviet Union",60,100
"Carminillo Mederos","SUN","1968-01-02","Soviet Union",60,100
"Sergio Previtali Roballo","SUN","1968-12-12","Soviet Union",60,100
"Eduardo Vedovatti","SUN","1968-01-22","Soviet Union",60,100
"Luis Carlos Turiansky Valdymersky","CZS","1968-06-15","Czechoslovakia",50.0755,14.4378
"Gabriel Gonzalez Gondolfi","SUN","1968-01-23","Soviet Union",60,100
"Vassili Koslov","SUN","1968-07-17","Soviet Union",60,100
"Lioudmila Lazeikina","SUN","1968-09-26","Soviet Union",60,100
"Vladimir Makourine","SUN","1968-12-02","Soviet Union",60,100
"Valentina Petrovna Tchapourskaia","SUN","1968-08-09","Soviet Union",60,100
"Vitali Kretchetov","SUN","1968-08-04","Soviet Union",60,100
"Nikolai Efikovich Zouichov","SUN","1968-08-22","Soviet Union",60,100
"Mikhail Petrovich Tchoumakov","SUN","1968-08-13","Soviet Union",60,100
"Konstantin Mikhailovich Simiak","SUN","1968-08-12","Soviet Union",60,100
"Vladimir aleksandrovich Klimov","SUN","1968-08-10","Soviet Union",60,100
"Efros Sinia Pianaia","SUN","1968-08-09","Soviet Union",60,100
"Gueorgui Alexeievich Lastovkine","SUN","1968-08-13","Soviet Union",60,100
"Srilev Vladimirovich Krylov","SUN","1968-08-16","Soviet Union",60,100
"Iria Pavlovich Kouligine","SUN","1968-08-02","Soviet Union",60,100
"Vadim Volfovich Poliakovsky","SUN","1968-08-16","Soviet Union",60,100
"Mikhail Rybakov","SUN","1968-08-06","Soviet Union",60,100
"Guerch Vainer","SUN","1968-08-11","Soviet Union",60,100
"Anganetee Neifeld","SUN","1968-08-10","Soviet Union",60,100
"Lydia Vlastopoulo","SUN","1968-08-08","Soviet Union",60,100
"Rosa Chmoulien","SUN","1968-08-15","Soviet Union",60,100
"Toker Enia Volkovna","SUN","1968-08-01","Soviet Union",60,100
"Zoja Nikifozona","SUN","1968-08-03","Soviet Union",60,100
"Alexei Zodorojni","SUN","1968-08-12","Soviet Union",60,100
"Alexei Borissov","SUN","1968-08-25","Soviet Union",60,100
"Igor Romanovich Fedotchenko","SUN","1937-02-17","Soviet Union",60,100
"Serguei Yefimovich Moujtchnin","SUN","1940-01-13","Soviet Union",60,100
"Victorio Codovilla","SUN","1968-09-11","Soviet Union",60,100
"Robert Harenkar","CZS","1968-07-09","Czechoslovakia",50.0755,14.4378
"Ivan Mrsa","YUG","1968-07-12","Socialist Federal Republic of Yugoslavia",44.7866,20.4489
"Ariel Collazo","CZS","1969-01-02","Czechoslovakia",50.0755,14.4378
"Carlos Bouzas","CZS","1969-01-02","Czechoslovakia",50.0755,14.4378
"Franklin Fresno","CZS","1969-01-02","Czechoslovakia",50.0755,14.4378
"Eduardo Segui","CZS","1969-01-02","Czechoslovakia",50.0755,14.4378
"Victoriano Perero","CZS","1969-01-05","Czechoslovakia",50.0755,14.4378
"Dimce Belovsky","YUG","1968-12-28","Socialist Federal Republic of Yugoslavia",44.7866,20.4489
"Nikita Khrushchev","SUN","1969-12-16","Soviet Union",60,100
"Carlos Rodriguez","SUN","1968-08-01","Soviet Union",60,100
"Roden Ocampo","CZS","1969-03-28","Czechoslovakia",50.0755,14.4378
"Rodolfo Presno","CZS","1969-10-28","Czechoslovakia",50.0755,14.4378
"Carlos Bouzas","CZS","1969-11-19","Czechoslovakia",50.0755,14.4378
"Eduardo Segui","CZS","1969-02-04","Czechoslovakia",50.0755,14.4378
"Raul Latorre","CZS","1969-03-13","Czechoslovakia",50.0755,14.4378
